00038.31;CIL RD;117,63
00038.4;CIL RD TS D E 3/4POL 19MM;19,32
00038.4;CIL RD TS D E 3/4POL 19MM;19,32
00038.5;CIL RD TS D E ALUM 19MM;25,32
00038.5;CIL RD TS D E ALUM 19MM;25,32
00038.8;CIL RD TS E 28.57MM SIST BOSCH;53,1
00038.9;CIL RD TS D E 28.57MM SIST LUCAS;67,92
00038.9;CIL RD TS D E 28.57MM SIST LUCAS;67,92
00038.9;CIL RD TS D E 28.57MM SIST LUCAS;67,92
00038.90;CIL MT DUPL 22MM;180,965
00038.91;CIL MT DUPL 20MM;160,47
00040.;CIL MT DUPL ATE 13/16 POL;104,05
00040.11;CIL MT SIMP P PARTE DT 28MM;218,325
00040.12;CIL MT DUPL;313,405
00040.12;CIL MT DUPL;313,405
00040.16;CIL MT DUPL 23.81MM;108,75
00040.16;CIL MT DUPL 23.81MM;108,75
00040.17;CIL MT DUPL 23.81MM;71,175
00040.17;CIL MT DUPL 23.81MM;71,175
00040.19;CIL MT EMB 7/8POL 22.22MM;66,565
00040.20;CIL MT EMB 15/16POL 23.81MM;50,2
00040.20;CIL MT EMB 15/16POL 23.81MM;50,2
00040.21;CIL MT EMB 3/4POL 19.05MM;60,17
00040.21;CIL MT EMB 3/4POL 19.05MM;60,17
00040.22;CIL MT EMB 11/8POL 28.57MM;84,525
00040.23;CIL MT EMB 3/4POL 19.05MM;57,335
00040.24;CIL MT EMB 3/4POL 19.05MM;55,57
00040.24;CIL MT EMB 3/4POL 19.05MM;55,57
00040.25;CIL MT EMB 15/16POL 23.81MM;64,51
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
00040.26;CIL MT EMB 7/8POL 22.22MM;87,3
